,word,frequency
24,של,3545308
62,את,2092993
218,על,1744194
176,הוא,951186
78,עם,726096
436,ב,655408
359,היה,494803
0,היא,454187
1951,בשנת,444564
185,גם,442608
704,לא,412787
2722,לאחר,408971
326,ידי,408104
338,בין,372542
199,או,320000
145,כי,311111
72,ה,288075
83,זה,282410
773,אך,276601
64,עד,259614
252,הייתה,245010
170,יותר,240915
446,כל,216082
526,אשר,210399
541,הם,206213
442,זו,200647
1550,הראשון,188328
1176,היו,186084
172,שם,184117
322,ביותר,180377
6947,בית,175865
2374,הברית,168998
180,כמו,167846
10000,ישראל,167431
1274,שלו,167216
319,כאשר,158567
2150,כדי,157192
1603,בו,155386
631,מספר,154668
745,אחד,151564
355,כך,147170
1068,אותו,144089
1143,במהלך,142927
134,זאת,136996
4317,לו,129740
95,שני,128364
1203,העולם,127126
1248,אל,122070
226,אף,121785
2271,מכן,119482
251,הראשונה,119032
4662,העיר,118553
327,כ,118075
104,רבים,117358
262,יש,116725
1045,רק,115786
219,פי,114267
3060,החל,109684
821,בה,108461
1602,הספר,108422
4215,במקום,107192
470,ל,107114
328,שנה,106545
1291,שנים,105973
1664,בשם,104546
285,באופן,104396
1047,כן,102618
144,אם,101754
3779,בבית,101142
35,חלק,99799
824,השני,99596
561,אותה,99081
3615,בן,96459
329,לפני,96379
211,המאה,94845
6949,נולד,93819
3326,ארצות,93111
2359,השנייה,91998
731,אחת,90822
5435,נגד,90674
439,זכה,90642
41,ניתן,87943
1804,מ,85973
692,שלה,85567
1153,בעיקר,84349
182,שהוא,83176
1902,עבור,83015
1090,בכל,82408
2358,מלחמת,82270
2723,השנים,81457
843,שלא,79682
1095,להיות,77632
685,וכן,77569
10168,ראש,77472
3857,השיר,77415
133,בעקבות,76447
478,אלו,75471
3842,באנגלית,75258
1085,והוא,74924
1866,אולם,74206
